"Dates","Year","Dataset","Var","Site","Period","Area","AggStat","Value"
2021-09-28,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-09-28,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-09-29,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-09-29,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-09-30,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.0437483339466982
2021-09-30,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.0191011844820884
2021-10-01,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-01,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-02,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-02,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-03,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.06212367862463
2021-10-03,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.0266664395474428
2021-10-04,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-04,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-05,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.0631310153338644
2021-10-05,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.00796968180785994
2021-10-06,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-06,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-07,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-07,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-08,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.0836594866381751
2021-10-08,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.0125265649820258
2021-10-09,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-09,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-10,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-10,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-11,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.0962049961090088
2021-10-11,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.0105355900080943
2021-10-12,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-12,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-13,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.0776104504863421
2021-10-13,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.0183578153081985
2021-10-14,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-14,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-15,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-15,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-16,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.0570941372878022
2021-10-16,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.0148586209463269
2021-10-17,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-17,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-18,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-18,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-19,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.0554141903089152
2021-10-19,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.0121321494415616
2021-10-20,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-20,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-21,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.0798861839705043
2021-10-21,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.0108137661708344
2021-10-22,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-22,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-23,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-10-23,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-10-24,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.0616985956827799
2021-10-24,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.00622637667960264
2021-10-25,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
